sample_id	taxon_id	reads
SRR10484431	1587	43
SRR10484432	1587	669
SRR10484437	1587	8
SRR10484443	1587	17
SRR10484448	1587	4
SRR10484454	1587	83
SRR10484459	1587	3
SRR10484371	267363	29
SRR10484376	267363	10
SRR10484377	267363	14
SRR10484382	267363	38
SRR10484388	267363	1
SRR10484393	267363	30
SRR10484399	267363	3
SRR10484404	267363	5
SRR10484410	267363	10
SRR10484415	267363	5
SRR10484421	267363	11
SRR10484426	267363	33
SRR10484431	267363	3
SRR10484432	267363	16
SRR10484437	267363	0
SRR10484443	267363	21
SRR10484448	267363	27
SRR10484454	267363	7
SRR10484459	267363	7
SRR10484371	47770	28
SRR10484376	47770	1
SRR10484377	47770	13
SRR10484382	47770	7
SRR10484388	47770	2
SRR10484393	47770	4
SRR10484399	47770	2
SRR10484404	47770	2
SRR10484410	47770	86
SRR10484415	47770	9
SRR10484421	47770	11
SRR10484426	47770	3
SRR10484431	47770	51
SRR10484432	47770	10
SRR10484437	47770	0
SRR10484443	47770	8
SRR10484448	47770	4
SRR10484454	47770	2
SRR10484459	47770	19
SRR10484371	83683	28
SRR10484376	83683	3
SRR10484377	83683	25
SRR10484382	83683	9
SRR10484388	83683	2
SRR10484393	83683	8
SRR10484399	83683	3
SRR10484404	83683	16
SRR10484410	83683	3
SRR10484415	83683	1
SRR10484421	83683	15
SRR10484426	83683	0
SRR10484431	83683	19
SRR10484432	83683	3
SRR10484437	83683	0
SRR10484443	83683	7
SRR10484448	83683	13
SRR10484454	83683	0
SRR10484459	83683	11
SRR10484371	1138822	26
SRR10484376	1138822	20
SRR10484377	1138822	134
SRR10484382	1138822	73
SRR10484388	1138822	6
SRR10484393	1138822	20
SRR10484399	1138822	6
SRR10484404	1138822	17
SRR10484410	1138822	18
SRR10484415	1138822	19
SRR10484421	1138822	24
SRR10484426	1138822	0
SRR10484431	1138822	3
SRR10484432	1138822	5
SRR10484437	1138822	0
SRR10484443	1138822	30
SRR10484448	1138822	25
SRR10484454	1138822	6
SRR10484459	1138822	35
SRR10484371	2099789	26
SRR10484376	2099789	4
SRR10484377	2099789	36
SRR10484382	2099789	10
SRR10484388	2099789	7
SRR10484393	2099789	1
SRR10484399	2099789	2
SRR10484404	2099789	0
SRR10484410	2099789	1
SRR10484415	2099789	0
SRR10484421	2099789	13
SRR10484426	2099789	0
SRR10484431	2099789	0
SRR10484432	2099789	50
SRR10484437	2099789	0
SRR10484443	2099789	8
SRR10484448	2099789	4
SRR10484454	2099789	2
SRR10484459	2099789	23
SRR10484371	60520	25
SRR10484376	60520	0
SRR10484377	60520	3
SRR10484382	60520	4
SRR10484388	60520	0
SRR10484393	60520	6
SRR10484399	60520	5
SRR10484404	60520	0
SRR10484410	60520	0
SRR10484415	60520	12
SRR10484421	60520	12
SRR10484426	60520	2
SRR10484431	60520	4
SRR10484432	60520	1
SRR10484437	60520	0
SRR10484443	60520	3
SRR10484448	60520	4
SRR10484454	60520	5
SRR10484459	60520	44
SRR10484371	1603	23
SRR10484376	1603	0
SRR10484377	1603	23
SRR10484382	1603	34
SRR10484388	1603	16
SRR10484393	1603	7
SRR10484399	1603	4
SRR10484404	1603	31
SRR10484410	1603	1
SRR10484415	1603	22
SRR10484421	1603	32
SRR10484426	1603	1
SRR10484431	1603	2
SRR10484432	1603	4
SRR10484437	1603	0
SRR10484443	1603	19
SRR10484448	1603	13
SRR10484454	1603	2
SRR10484459	1603	2
SRR10484371	1625	23
SRR10484376	1625	6
SRR10484377	1625	51
SRR10484382	1625	23
SRR10484388	1625	7
SRR10484393	1625	16
SRR10484399	1625	3
SRR10484404	1625	4
SRR10484410	1625	0
SRR10484415	1625	10
SRR10484421	1625	10
SRR10484426	1625	7
SRR10484431	1625	27
SRR10484432	1625	6
SRR10484437	1625	10
SRR10484443	1625	10
SRR10484448	1625	9
SRR10484454	1625	143
SRR10484459	1625	15
SRR10484371	148814	22
SRR10484376	148814	7
SRR10484377	148814	59
SRR10484382	148814	49
SRR10484388	148814	4
SRR10484393	148814	10
SRR10484399	148814	1
SRR10484404	148814	5
SRR10484410	148814	16
SRR10484415	148814	6
SRR10484421	148814	34
SRR10484426	148814	7
SRR10484431	148814	20
SRR10484432	148814	60
SRR10484437	148814	1
SRR10484443	148814	37
SRR10484448	148814	11
SRR10484454	148814	4
SRR10484459	148814	21
SRR10484371	1590	17
SRR10484376	1590	44
SRR10484377	1590	46
SRR10484382	1590	152
SRR10484388	1590	0
SRR10484393	1590	29
SRR10484399	1590	14
SRR10484404	1590	6
SRR10484410	1590	19
SRR10484415	1590	10
SRR10484421	1590	26
SRR10484426	1590	10
SRR10484431	1590	137
SRR10484432	1590	11423
SRR10484437	1590	2
SRR10484443	1590	74
SRR10484448	1590	35
SRR10484454	1590	631
SRR10484459	1590	24
SRR10484371	1545702	17
SRR10484376	1545702	23
SRR10484377	1545702	5
SRR10484382	1545702	3
SRR10484388	1545702	14
SRR10484393	1545702	1
SRR10484399	1545702	1
SRR10484404	1545702	6
SRR10484410	1545702	5
SRR10484415	1545702	11
SRR10484421	1545702	7
SRR10484426	1545702	10
SRR10484431	1545702	1
SRR10484432	1545702	3
SRR10484437	1545702	4
SRR10484443	1545702	1
SRR10484448	1545702	2
SRR10484454	1545702	5
SRR10484459	1545702	0
SRR10484371	1602	16
SRR10484376	1602	7
SRR10484377	1602	25
SRR10484382	1602	50
SRR10484388	1602	13
SRR10484393	1602	7
SRR10484399	1602	1
SRR10484404	1602	6
SRR10484410	1602	7
SRR10484415	1602	16
SRR10484421	1602	29
SRR10484426	1602	3
SRR10484431	1602	29
SRR10484432	1602	59
SRR10484437	1602	2
SRR10484443	1602	33
SRR10484448	1602	10
SRR10484454	1602	7
SRR10484459	1602	36
SRR10484371	240427	6
SRR10484376	240427	27
SRR10484377	240427	10
SRR10484382	240427	51
SRR10484388	240427	18
SRR10484393	240427	8
SRR10484399	240427	1
SRR10484404	240427	7
SRR10484410	240427	1
SRR10484415	240427	20
SRR10484421	240427	12
SRR10484426	240427	17
SRR10484431	240427	2
SRR10484432	240427	200
SRR10484437	240427	1
SRR10484443	240427	11
SRR10484448	240427	27
SRR10484454	240427	3
SRR10484459	240427	5
SRR10484371	2099788	3
SRR10484376	2099788	1
SRR10484377	2099788	34
SRR10484382	2099788	6
SRR10484388	2099788	5
SRR10484393	2099788	4
SRR10484399	2099788	0
SRR10484404	2099788	2
SRR10484410	2099788	5
SRR10484415	2099788	2
SRR10484421	2099788	10
SRR10484426	2099788	2
SRR10484431	2099788	1
SRR10484432	2099788	8
SRR10484437	2099788	0
SRR10484443	2099788	5
SRR10484448	2099788	3
SRR10484454	2099788	0
SRR10484459	2099788	8
SRR10484371	1253	5
SRR10484376	1253	0
SRR10484377	1253	12
SRR10484382	1253	4
SRR10484388	1253	0
SRR10484393	1253	0
SRR10484399	1253	3
SRR10484404	1253	3
SRR10484410	1253	6
SRR10484415	1253	4
SRR10484421	1253	0
SRR10484426	1253	0
SRR10484431	1253	1
SRR10484432	1253	0
SRR10484437	1253	0
SRR10484443	1253	10
SRR10484448	1253	2
SRR10484454	1253	2
SRR10484459	1253	2
SRR10484371	1255	67
SRR10484376	1255	41
SRR10484377	1255	48
SRR10484382	1255	76
SRR10484388	1255	48
SRR10484393	1255	20
SRR10484399	1255	7
SRR10484404	1255	9
SRR10484410	1255	23
SRR10484415	1255	30
SRR10484421	1255	24
SRR10484426	1255	11
SRR10484431	1255	3
SRR10484432	1255	34
SRR10484437	1255	0
SRR10484443	1255	44
SRR10484448	1255	8
SRR10484454	1255	78
SRR10484459	1255	49
SRR10484371	51663	53
SRR10484376	51663	5
SRR10484377	51663	30
SRR10484382	51663	73
SRR10484388	51663	9
SRR10484393	51663	25
SRR10484399	51663	4
SRR10484404	51663	2
SRR10484410	51663	6
SRR10484415	51663	32
SRR10484421	51663	7
SRR10484426	51663	4
SRR10484431	51663	20
SRR10484432	51663	124
SRR10484437	51663	0
SRR10484443	51663	32
SRR10484448	51663	3
SRR10484454	51663	5
SRR10484459	51663	114
SRR10484371	187452	50
SRR10484376	187452	15
SRR10484377	187452	37
SRR10484382	187452	43
SRR10484388	187452	6
SRR10484393	187452	12
SRR10484399	187452	13
SRR10484404	187452	7
SRR10484410	187452	11
SRR10484415	187452	8
SRR10484421	187452	24
SRR10484426	187452	2
SRR10484431	187452	10
SRR10484432	187452	7
SRR10484437	187452	0
SRR10484443	187452	20
SRR10484448	187452	5
SRR10484454	187452	15
SRR10484459	187452	55
SRR10484371	114090	31
SRR10484376	114090	2
SRR10484377	114090	2
SRR10484382	114090	18
SRR10484388	114090	14
SRR10484393	114090	12
SRR10484399	114090	6
SRR10484404	114090	5
SRR10484410	114090	16
SRR10484415	114090	7
SRR10484421	114090	16
SRR10484426	114090	5
SRR10484431	114090	10
SRR10484432	114090	8
SRR10484437	114090	1
SRR10484443	114090	18
SRR10484448	114090	13
SRR10484454	114090	17
SRR10484459	114090	74
SRR10484371	1254	22
SRR10484376	1254	13
SRR10484377	1254	14
SRR10484382	1254	45
SRR10484388	1254	0
SRR10484393	1254	181
SRR10484399	1254	9
SRR10484404	1254	7
SRR10484410	1254	3
SRR10484415	1254	19
SRR10484421	1254	11
SRR10484426	1254	2
SRR10484431	1254	6
SRR10484432	1254	24
SRR10484437	1254	16
SRR10484443	1254	7
SRR10484448	1254	15
SRR10484454	1254	48
SRR10484459	1254	6
SRR10484371	81850	22
SRR10484376	81850	0
SRR10484377	81850	1
SRR10484382	81850	1
SRR10484388	81850	1
SRR10484393	81850	2
SRR10484399	81850	2
SRR10484404	81850	14
SRR10484410	81850	3
SRR10484415	81850	5
SRR10484421	81850	24
SRR10484426	81850	0
SRR10484431	81850	3
SRR10484432	81850	10
SRR10484437	81850	0
SRR10484443	81850	2
SRR10484448	81850	6
SRR10484454	81850	6
SRR10484459	81850	1
SRR10484371	1243	88
SRR10484376	1243	9
SRR10484377	1243	38
SRR10484382	1243	71
SRR10484388	1243	14
SRR10484393	1243	32
SRR10484399	1243	10
SRR10484404	1243	169
SRR10484410	1243	76
SRR10484415	1243	62
SRR10484421	1243	64
SRR10484426	1243	23
SRR10484431	1243	95
SRR10484432	1243	68
SRR10484437	1243	0
SRR10484443	1243	163
SRR10484448	1243	60
SRR10484454	1243	43
SRR10484459	1243	137
SRR10484371	1252	58
SRR10484376	1252	1
SRR10484377	1252	11
SRR10484382	1252	21
SRR10484388	1252	5
SRR10484393	1252	16
SRR10484399	1252	3
SRR10484404	1252	14
SRR10484410	1252	13
SRR10484415	1252	20
SRR10484421	1252	8
SRR10484426	1252	35
SRR10484431	1252	11
SRR10484432	1252	15
SRR10484437	1252	0
SRR10484443	1252	21
SRR10484448	1252	40
SRR10484454	1252	4
SRR10484459	1252	110
SRR10484371	1511761	40
SRR10484376	1511761	1
SRR10484377	1511761	8
SRR10484382	1511761	19
SRR10484388	1511761	1
SRR10484393	1511761	1
SRR10484399	1511761	1
SRR10484404	1511761	5
SRR10484410	1511761	9
SRR10484415	1511761	9
SRR10484421	1511761	24
SRR10484426	1511761	0
SRR10484431	1511761	0
SRR10484432	1511761	1
SRR10484437	1511761	0
SRR10484443	1511761	13
SRR10484448	1511761	4
SRR10484454	1511761	4
SRR10484459	1511761	21
SRR10484371	1244	37
SRR10484376	1244	5
SRR10484377	1244	21
SRR10484382	1244	22
SRR10484388	1244	0
SRR10484393	1244	11
SRR10484399	1244	0
SRR10484404	1244	6211
SRR10484410	1244	7
SRR10484415	1244	6
SRR10484421	1244	64
SRR10484426	1244	4
SRR10484431	1244	29
SRR10484432	1244	448
SRR10484437	1244	0
SRR10484443	1244	41
SRR10484448	1244	1530
SRR10484454	1244	7
SRR10484459	1244	14
SRR10484371	1245	35
SRR10484376	1245	4
SRR10484377	1245	8
SRR10484382	1245	26
SRR10484388	1245	10
SRR10484393	1245	15
SRR10484399	1245	18
SRR10484404	1245	39
SRR10484410	1245	229
SRR10484415	1245	35
SRR10484421	1245	72
SRR10484426	1245	41
SRR10484431	1245	797
SRR10484432	1245	105
SRR10484437	1245	8
SRR10484443	1245	15
SRR10484448	1245	43
SRR10484454	1245	231
SRR10484459	1245	63
SRR10484371	1246	30
SRR10484376	1246	1
SRR10484377	1246	15
SRR10484382	1246	2
SRR10484388	1246	3
SRR10484393	1246	1
SRR10484399	1246	1
SRR10484404	1246	2
SRR10484410	1246	1
SRR10484415	1246	1
SRR10484421	1246	2
SRR10484426	1246	0
SRR10484431	1246	14
SRR10484432	1246	5
SRR10484437	1246	0
SRR10484443	1246	5
SRR10484448	1246	1
SRR10484454	1246	1
SRR10484459	1246	0
SRR10484371	33964	17
SRR10484376	33964	5
SRR10484377	33964	20
SRR10484382	33964	46
SRR10484388	33964	14
SRR10484393	33964	2
SRR10484399	33964	6
SRR10484404	33964	32
SRR10484410	33964	6
SRR10484415	33964	0
SRR10484421	33964	2
SRR10484426	33964	29
SRR10484431	33964	21
SRR10484432	33964	5
SRR10484437	33964	4
SRR10484443	33964	17
SRR10484448	33964	8
SRR10484454	33964	15
SRR10484459	33964	14
SRR10484371	136609	1
SRR10484376	136609	1
SRR10484377	136609	0
SRR10484382	136609	1
SRR10484388	136609	0
SRR10484393	136609	0
SRR10484399	136609	0
SRR10484404	136609	2
SRR10484410	136609	0
SRR10484415	136609	0
SRR10484421	136609	0
SRR10484426	136609	0
SRR10484431	136609	17
SRR10484432	136609	17
SRR10484437	136609	0
SRR10484443	136609	0
SRR10484448	136609	3
SRR10484454	136609	1
SRR10484459	136609	2
SRR10484371	46255	1
SRR10484376	46255	1
SRR10484377	46255	14
SRR10484382	46255	4
SRR10484388	46255	1
SRR10484393	46255	7
SRR10484399	46255	0
SRR10484404	46255	3
SRR10484410	46255	0
SRR10484415	46255	1
SRR10484421	46255	2
SRR10484426	46255	0
SRR10484431	46255	1
SRR10484432	46255	12
SRR10484437	46255	0
SRR10484443	46255	7
SRR10484448	46255	0
SRR10484454	46255	2
SRR10484459	46255	1
SRR10484371	759620	75
SRR10484376	759620	7
SRR10484377	759620	45
SRR10484382	759620	92
SRR10484388	759620	17
SRR10484393	759620	26
SRR10484399	759620	13
SRR10484404	759620	14
SRR10484410	759620	27
SRR10484415	759620	25
SRR10484421	759620	69
SRR10484426	759620	8
SRR10484431	759620	11
SRR10484432	759620	3
SRR10484437	759620	1
SRR10484443	759620	51
SRR10484448	759620	37
SRR10484454	759620	8
SRR10484459	759620	127
SRR10484371	1629	34
SRR10484376	1629	2
SRR10484377	1629	12
SRR10484382	1629	17
SRR10484388	1629	12
SRR10484393	1629	3
SRR10484399	1629	4
SRR10484404	1629	4
SRR10484410	1629	12
SRR10484415	1629	4
SRR10484421	1629	19
SRR10484426	1629	1
SRR10484431	1629	5
SRR10484432	1629	2
SRR10484437	1629	0
SRR10484443	1629	17
SRR10484448	1629	6
SRR10484454	1629	0
SRR10484459	1629	40
SRR10484371	165096	29
SRR10484376	165096	2
SRR10484377	165096	37
SRR10484382	165096	6
SRR10484388	165096	6
SRR10484393	165096	14
SRR10484399	165096	8
SRR10484404	165096	5
SRR10484410	165096	9
SRR10484415	165096	6
SRR10484421	165096	11
SRR10484426	165096	7
SRR10484431	165096	7
SRR10484432	165096	8
SRR10484437	165096	17
SRR10484443	165096	10
SRR10484448	165096	3
SRR10484454	165096	2
SRR10484459	165096	20
SRR10484371	1631871	20
SRR10484376	1631871	1
SRR10484377	1631871	25
SRR10484382	1631871	12
SRR10484388	1631871	15
SRR10484393	1631871	5
SRR10484399	1631871	1
SRR10484404	1631871	3
SRR10484410	1631871	4
SRR10484415	1631871	12
SRR10484421	1631871	10
SRR10484426	1631871	2
SRR10484431	1631871	17
SRR10484432	1631871	32
SRR10484437	1631871	6
SRR10484443	1631871	20
SRR10484448	1631871	11
SRR10484454	1631871	2
SRR10484459	1631871	19
SRR10484371	137591	18
SRR10484376	137591	4
SRR10484377	137591	23
SRR10484382	137591	38
SRR10484388	137591	2
SRR10484393	137591	11
SRR10484399	137591	4
SRR10484404	137591	19
SRR10484410	137591	9
SRR10484415	137591	19
SRR10484421	137591	1
SRR10484426	137591	2
SRR10484431	137591	20
SRR10484432	137591	36
SRR10484437	137591	9
SRR10484443	137591	9
SRR10484448	137591	25
SRR10484454	137591	17
SRR10484459	137591	26
SRR10484371	1249	16
SRR10484376	1249	0
SRR10484377	1249	35
SRR10484382	1249	13
SRR10484388	1249	0
SRR10484393	1249	9
SRR10484399	1249	1
SRR10484404	1249	3
SRR10484410	1249	4
SRR10484415	1249	7
SRR10484421	1249	22
SRR10484426	1249	3
SRR10484431	1249	3
SRR10484432	1249	38
SRR10484437	1249	0
SRR10484443	1249	14
SRR10484448	1249	20
SRR10484454	1249	4
SRR10484459	1249	23
SRR10484371	46254	1
SRR10484376	46254	0
SRR10484377	46254	0
SRR10484382	46254	1
SRR10484388	46254	0
SRR10484393	46254	5
SRR10484399	46254	0
SRR10484404	46254	0
SRR10484410	46254	0
SRR10484415	46254	0
SRR10484421	46254	0
SRR10484426	46254	0
SRR10484431	46254	4
SRR10484432	46254	1
SRR10484437	46254	1
SRR10484443	46254	0
SRR10484448	46254	1
SRR10484454	46254	0
SRR10484459	46254	1
SRR10484371	1247	41
SRR10484376	1247	1
SRR10484377	1247	34
SRR10484382	1247	41
SRR10484388	1247	3
SRR10484393	1247	5
SRR10484399	1247	3
SRR10484404	1247	1
SRR10484410	1247	11
SRR10484415	1247	6
SRR10484421	1247	19
SRR10484426	1247	3
SRR10484431	1247	4
SRR10484432	1247	13
SRR10484437	1247	1
SRR10484443	1247	40
SRR10484448	1247	2
SRR10484454	1247	4
SRR10484459	1247	12
SRR10484371	336988	26
SRR10484376	336988	1
SRR10484377	336988	27
SRR10484382	336988	29
SRR10484388	336988	9
SRR10484393	336988	23
SRR10484399	336988	5
SRR10484404	336988	20
SRR10484410	336988	14
SRR10484415	336988	13
SRR10484421	336988	16
SRR10484426	336988	1
SRR10484431	336988	3
SRR10484432	336988	6
SRR10484437	336988	0
SRR10484443	336988	59
SRR10484448	336988	22
SRR10484454	336988	1
SRR10484459	336988	16
SRR10484371	186828	1
SRR10484376	186828	6
SRR10484377	186828	1
SRR10484382	186828	1
SRR10484388	186828	1
SRR10484393	186828	0
SRR10484399	186828	0
SRR10484404	186828	0
SRR10484410	186828	3
SRR10484415	186828	0
SRR10484421	186828	0
SRR10484426	186828	8
SRR10484431	186828	1
SRR10484432	186828	0
SRR10484437	186828	8
SRR10484443	186828	0
SRR10484448	186828	0
SRR10484454	186828	0
SRR10484459	186828	1
SRR10484371	2747	3
SRR10484376	2747	3
SRR10484377	2747	7
SRR10484382	2747	1
SRR10484388	2747	1
SRR10484393	2747	3
SRR10484399	2747	1
SRR10484404	2747	2
SRR10484410	2747	0
SRR10484415	2747	8
SRR10484421	2747	1
SRR10484426	2747	7
SRR10484431	2747	22
SRR10484432	2747	4
SRR10484437	2747	0
SRR10484443	2747	17
SRR10484448	2747	3
SRR10484454	2747	0
SRR10484459	2747	7
SRR10484371	2751	158
SRR10484376	2751	25
SRR10484377	2751	59
SRR10484382	2751	37
SRR10484388	2751	20
SRR10484393	2751	27
SRR10484399	2751	4
SRR10484404	2751	16
SRR10484410	2751	19
SRR10484415	2751	36
SRR10484421	2751	55
SRR10484426	2751	15
SRR10484431	2751	293
SRR10484432	2751	10
SRR10484437	2751	7
SRR10484443	2751	48
SRR10484448	2751	13
SRR10484454	2751	18
SRR10484459	2751	135
SRR10484371	147709	82
SRR10484376	147709	13
SRR10484377	147709	46
SRR10484382	147709	143
SRR10484388	147709	14
SRR10484393	147709	22
SRR10484399	147709	4
SRR10484404	147709	2
SRR10484410	147709	15
SRR10484415	147709	39
SRR10484421	147709	41
SRR10484426	147709	10
SRR10484431	147709	20
SRR10484432	147709	22
SRR10484437	147709	3
SRR10484443	147709	20
SRR10484448	147709	15
SRR10484454	147709	2
SRR10484459	147709	82
SRR10484371	2748	58
SRR10484376	2748	28
SRR10484377	2748	42
SRR10484382	2748	39
SRR10484388	2748	18
SRR10484393	2748	20
SRR10484399	2748	3
SRR10484404	2748	25
SRR10484410	2748	5
SRR10484415	2748	20
SRR10484421	2748	33
SRR10484426	2748	23
SRR10484431	2748	93
SRR10484432	2748	21
SRR10484437	2748	3
SRR10484443	2748	46
SRR10484448	2748	11
SRR10484454	2748	4
SRR10484459	2748	18
SRR10484371	1564681	47
SRR10484376	1564681	7
SRR10484377	1564681	11
SRR10484382	1564681	33
SRR10484388	1564681	3
SRR10484393	1564681	2
SRR10484399	1564681	6
SRR10484404	1564681	24
SRR10484410	1564681	15
SRR10484415	1564681	12
SRR10484421	1564681	23
SRR10484426	1564681	11
SRR10484431	1564681	29
SRR10484432	1564681	15
SRR10484437	1564681	1
SRR10484443	1564681	31
SRR10484448	1564681	21
SRR10484454	1564681	6
SRR10484459	1564681	26
SRR10484371	208596	25
SRR10484376	208596	7
SRR10484377	208596	33
SRR10484382	208596	14
SRR10484388	208596	15
SRR10484393	208596	13
SRR10484399	208596	6
SRR10484404	208596	22
SRR10484410	208596	25
SRR10484415	208596	9
SRR10484421	208596	40
SRR10484426	208596	8
SRR10484431	208596	7
SRR10484432	208596	38
SRR10484437	208596	10
SRR10484443	208596	20
SRR10484448	208596	11
SRR10484454	208596	3
SRR10484459	208596	35
SRR10484371	1470540	1
SRR10484376	1470540	4
SRR10484377	1470540	1
SRR10484382	1470540	8
SRR10484388	1470540	0
SRR10484393	1470540	3
SRR10484399	1470540	0
SRR10484404	1470540	0
SRR10484410	1470540	2
SRR10484415	1470540	0
SRR10484421	1470540	1
SRR10484426	1470540	2
SRR10484431	1470540	0
SRR10484432	1470540	2
SRR10484437	1470540	0
SRR10484443	1470540	0
SRR10484448	1470540	2
SRR10484454	1470540	0
SRR10484459	1470540	1
SRR10484371	1903686	122
SRR10484376	1903686	24
SRR10484377	1903686	47
SRR10484382	1903686	81
SRR10484388	1903686	55
SRR10484393	1903686	10
SRR10484399	1903686	11
SRR10484404	1903686	22
SRR10484410	1903686	31
SRR10484415	1903686	23
SRR10484421	1903686	29
SRR10484426	1903686	31
SRR10484431	1903686	18
SRR10484432	1903686	15
SRR10484437	1903686	2
SRR10484443	1903686	26
SRR10484448	1903686	22
SRR10484454	1903686	7
SRR10484459	1903686	95
SRR10484371	708126	30
SRR10484376	708126	7
SRR10484377	708126	30
SRR10484382	708126	22
SRR10484388	708126	3
SRR10484393	708126	15
SRR10484399	708126	5
SRR10484404	708126	7
SRR10484410	708126	7
SRR10484415	708126	10
SRR10484421	708126	46
SRR10484426	708126	6
SRR10484431	708126	15
SRR10484432	708126	16
SRR10484437	708126	0
SRR10484443	708126	12
SRR10484448	708126	5
SRR10484454	708126	4
SRR10484459	708126	25
SRR10484371	1911586	55
SRR10484376	1911586	6
SRR10484377	1911586	32
SRR10484382	1911586	43
SRR10484388	1911586	16
SRR10484393	1911586	20
SRR10484399	1911586	5
SRR10484404	1911586	15
SRR10484410	1911586	15
SRR10484415	1911586	25
SRR10484421	1911586	44
SRR10484426	1911586	7
SRR10484431	1911586	17
SRR10484432	1911586	5
SRR10484437	1911586	9
SRR10484443	1911586	78
SRR10484448	1911586	25
SRR10484454	1911586	2
SRR10484459	1911586	57
SRR10484371	1375	6
SRR10484376	1375	25
SRR10484377	1375	153
SRR10484382	1375	29
SRR10484388	1375	2
SRR10484393	1375	9
SRR10484399	1375	3
SRR10484404	1375	4
SRR10484410	1375	1
SRR10484415	1375	9
SRR10484421	1375	10
SRR10484426	1375	18
SRR10484431	1375	10
SRR10484432	1375	10
SRR10484437	1375	2
SRR10484443	1375	18
SRR10484448	1375	10
SRR10484454	1375	4
SRR10484459	1375	12
SRR10484371	128944	90
SRR10484376	128944	5
SRR10484377	128944	56
SRR10484382	128944	56
SRR10484388	128944	5
SRR10484393	128944	14
SRR10484399	128944	5
SRR10484404	128944	18
SRR10484410	128944	17
SRR10484415	128944	17
SRR10484421	128944	41
SRR10484426	128944	7
SRR10484431	128944	2
SRR10484432	128944	2
SRR10484437	128944	0
SRR10484443	128944	44
SRR10484448	128944	14
SRR10484454	128944	7
SRR10484459	128944	50
SRR10484371	87541	81
SRR10484376	87541	14
SRR10484377	87541	67
SRR10484382	87541	203
SRR10484388	87541	7
SRR10484393	87541	24
SRR10484399	87541	9
SRR10484404	87541	14
SRR10484410	87541	10
SRR10484415	87541	12
SRR10484421	87541	28
SRR10484426	87541	34
SRR10484431	87541	9
SRR10484432	87541	65
SRR10484437	87541	6
SRR10484443	87541	53
SRR10484448	87541	31
SRR10484454	87541	8
SRR10484459	87541	42
SRR10484371	51665	65
SRR10484376	51665	10
SRR10484377	51665	38
SRR10484382	51665	16
SRR10484388	51665	5
SRR10484393	51665	11
SRR10484399	51665	6
SRR10484404	51665	5
SRR10484410	51665	14
SRR10484415	51665	13
SRR10484421	51665	4
SRR10484426	51665	13
SRR10484431	51665	5
SRR10484432	51665	22
SRR10484437	51665	2
SRR10484443	51665	14
SRR10484448	51665	4
SRR10484454	51665	2
SRR10484459	51665	35
SRR10484371	119206	61
SRR10484376	119206	20
SRR10484377	119206	33
SRR10484382	119206	53
SRR10484388	119206	14
SRR10484393	119206	13
SRR10484399	119206	6
SRR10484404	119206	20
SRR10484410	119206	60
SRR10484415	119206	35
SRR10484421	119206	53
SRR10484426	119206	17
SRR10484431	119206	36
SRR10484432	119206	12
SRR10484437	119206	1
SRR10484443	119206	46
SRR10484448	119206	37
SRR10484454	119206	9
SRR10484459	119206	100
SRR10484371	1377	48
SRR10484376	1377	1
SRR10484377	1377	22
SRR10484382	1377	33
SRR10484388	1377	6
SRR10484393	1377	2
SRR10484399	1377	16
SRR10484404	1377	9
SRR10484410	1377	6
SRR10484415	1377	13
SRR10484421	1377	11
SRR10484426	1377	56
SRR10484431	1377	4
SRR10484432	1377	7
SRR10484437	1377	121
SRR10484443	1377	29
SRR10484448	1377	7
SRR10484454	1377	4
SRR10484459	1377	6
SRR10484371	1376	9
SRR10484376	1376	39
SRR10484377	1376	41
SRR10484382	1376	48
SRR10484388	1376	19
SRR10484393	1376	5
SRR10484399	1376	3
SRR10484404	1376	9
SRR10484410	1376	6
SRR10484415	1376	12
SRR10484421	1376	9
SRR10484426	1376	22
SRR10484431	1376	7
SRR10484432	1376	2
SRR10484437	1376	0
SRR10484443	1376	29
SRR10484448	1376	70
SRR10484454	1376	20
SRR10484459	1376	13
SRR10484371	1993866	70
SRR10484376	1993866	8
SRR10484377	1993866	67
SRR10484382	1993866	36
SRR10484388	1993866	2
SRR10484393	1993866	21
SRR10484399	1993866	9
SRR10484404	1993866	11
SRR10484410	1993866	11
SRR10484415	1993866	57
SRR10484421	1993866	40
SRR10484426	1993866	1
SRR10484431	1993866	12
SRR10484432	1993866	56
SRR10484437	1993866	2
SRR10484443	1993866	42
SRR10484448	1993866	11
SRR10484454	1993866	7
SRR10484459	1993866	42
SRR10484371	1385	715
SRR10484376	1385	207
SRR10484377	1385	402
SRR10484382	1385	736
SRR10484388	1385	176
SRR10484393	1385	215
SRR10484399	1385	75
SRR10484404	1385	179
SRR10484410	1385	239
SRR10484415	1385	193
SRR10484421	1385	396
SRR10484426	1385	138
SRR10484431	1385	140
SRR10484432	1385	273
SRR10484437	1385	72
SRR10484443	1385	553
SRR10484448	1385	190
SRR10484454	1385	60
SRR10484459	1385	681
SRR10484371	186817	345
SRR10484376	186817	92
SRR10484377	186817	137
SRR10484382	186817	263
SRR10484388	186817	58
SRR10484393	186817	106
SRR10484399	186817	33
SRR10484404	186817	105
SRR10484410	186817	126
SRR10484415	186817	135
SRR10484421	186817	166
SRR10484426	186817	102
SRR10484431	186817	24
SRR10484432	186817	91
SRR10484437	186817	108
SRR10484443	186817	302
SRR10484448	186817	184
SRR10484454	186817	31
SRR10484459	186817	313
