accession	strain	sample_id	reads
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	508_t0	1836
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	519_t2	1872
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	524_t3	2542
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	522_t3	3060
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	518_t3	2950
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	504_t1	1757
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	517_t3	2945
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	519_t1	2864
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	519_t0	3095
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	507_t0	2142
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	517_t2	2558
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	506_t2	2230
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	538_t2	1526
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	528_t1	2256
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	504_t3	2220
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	517_t0	2532
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	537_t1	1584
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	505_t0	2193
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	537_t3	2206
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	512_t0	3163
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	532_t3	3290
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	505_t3	3072
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	506_t3	2020
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	516_t3	3006
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	516_t2	2705
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	524_t2	3660
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	534_t2	2499
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	512_t1	2021
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	523_t1	2313
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	538_t3	3060
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	506_t1	1803
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	523_t2	628
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	511_t2	2056
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	512_t3	508
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	511_t3	617
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	504_t0	2193
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	505_t2	2184
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	538_t1	1987
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	532_t2	2374
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	518_t1	2786
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	505_t1	1620
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	512_t2	1239
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	507_t3	2859
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	516_t0	2031
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	532_t1	3026
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	522_t2	2910
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	504_t2	1059
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	507_t2	2001
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	528_t3	1014
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	534_t0	2696
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	537_t2	1411
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	506_t0	2089
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	517_t1	3044
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	508_t2	2183
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	516_t1	1902
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	537_t0	3159
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	518_t2	2723
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	522_t1	2214
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	524_t1	3333
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	522_t0	2496
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	538_t0	3131
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	510_t3	2256
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	510_t1	2160
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	528_t0	2045
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	534_t3	2299
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	523_t3	28
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	511_t1	3428
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	518_t0	3015
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	523_t0	2050
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	524_t0	3773
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	528_t2	1516
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	508_t1	1916
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	510_t0	2153
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	507_t1	1558
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	519_t3	2880
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	510_t2	2120
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	532_t0	2039
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	534_t1	4075
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	511_t0	3964
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	508_t3	1277
AAG07763.1	Pseudomonas aeruginosa PAO1	508_t0	1669
AAG07763.1	Pseudomonas aeruginosa PAO1	519_t2	873
AAG07763.1	Pseudomonas aeruginosa PAO1	524_t3	2300
AAG07763.1	Pseudomonas aeruginosa PAO1	522_t3	2115
AAG07763.1	Pseudomonas aeruginosa PAO1	518_t3	2594
AAG07763.1	Pseudomonas aeruginosa PAO1	504_t1	929
AAG07763.1	Pseudomonas aeruginosa PAO1	517_t3	3608
AAG07763.1	Pseudomonas aeruginosa PAO1	519_t1	1811
AAG07763.1	Pseudomonas aeruginosa PAO1	519_t0	2235
AAG07763.1	Pseudomonas aeruginosa PAO1	507_t0	1562
AAG07763.1	Pseudomonas aeruginosa PAO1	517_t2	3315
AAG07763.1	Pseudomonas aeruginosa PAO1	506_t2	1685
AAG07763.1	Pseudomonas aeruginosa PAO1	538_t2	1064
AAG07763.1	Pseudomonas aeruginosa PAO1	528_t1	1729
AAG07763.1	Pseudomonas aeruginosa PAO1	504_t3	1984
AAG07763.1	Pseudomonas aeruginosa PAO1	517_t0	3033
AAG07763.1	Pseudomonas aeruginosa PAO1	537_t1	984
AAG07763.1	Pseudomonas aeruginosa PAO1	505_t0	357
AAG07763.1	Pseudomonas aeruginosa PAO1	537_t3	2154
AAG07763.1	Pseudomonas aeruginosa PAO1	512_t0	1700
AAG07763.1	Pseudomonas aeruginosa PAO1	532_t3	2308
AAG07763.1	Pseudomonas aeruginosa PAO1	505_t3	2926
AAG07763.1	Pseudomonas aeruginosa PAO1	506_t3	1567
AAG07763.1	Pseudomonas aeruginosa PAO1	516_t3	3119
AAG07763.1	Pseudomonas aeruginosa PAO1	516_t2	2099
AAG07763.1	Pseudomonas aeruginosa PAO1	524_t2	3722
AAG07763.1	Pseudomonas aeruginosa PAO1	534_t2	1987
AAG07763.1	Pseudomonas aeruginosa PAO1	512_t1	1204
AAG07763.1	Pseudomonas aeruginosa PAO1	523_t1	1765
AAG07763.1	Pseudomonas aeruginosa PAO1	538_t3	2618
AAG07763.1	Pseudomonas aeruginosa PAO1	506_t1	932
AAG07763.1	Pseudomonas aeruginosa PAO1	523_t2	153
AAG07763.1	Pseudomonas aeruginosa PAO1	511_t2	1400
AAG07763.1	Pseudomonas aeruginosa PAO1	512_t3	664
AAG07763.1	Pseudomonas aeruginosa PAO1	511_t3	396
AAG07763.1	Pseudomonas aeruginosa PAO1	504_t0	1353
AAG07763.1	Pseudomonas aeruginosa PAO1	505_t2	864
AAG07763.1	Pseudomonas aeruginosa PAO1	538_t1	2145
AAG07763.1	Pseudomonas aeruginosa PAO1	532_t2	1765
AAG07763.1	Pseudomonas aeruginosa PAO1	518_t1	2131
AAG07763.1	Pseudomonas aeruginosa PAO1	505_t1	642
AAG07763.1	Pseudomonas aeruginosa PAO1	512_t2	903
AAG07763.1	Pseudomonas aeruginosa PAO1	507_t3	1870
AAG07763.1	Pseudomonas aeruginosa PAO1	516_t0	1573
AAG07763.1	Pseudomonas aeruginosa PAO1	532_t1	2913
AAG07763.1	Pseudomonas aeruginosa PAO1	522_t2	1811
AAG07763.1	Pseudomonas aeruginosa PAO1	504_t2	570
AAG07763.1	Pseudomonas aeruginosa PAO1	507_t2	1556
AAG07763.1	Pseudomonas aeruginosa PAO1	528_t3	803
AAG07763.1	Pseudomonas aeruginosa PAO1	534_t0	1809
AAG07763.1	Pseudomonas aeruginosa PAO1	537_t2	1218
AAG07763.1	Pseudomonas aeruginosa PAO1	506_t0	1201
AAG07763.1	Pseudomonas aeruginosa PAO1	517_t1	3192
AAG07763.1	Pseudomonas aeruginosa PAO1	508_t2	1060
AAG07763.1	Pseudomonas aeruginosa PAO1	516_t1	1707
AAG07763.1	Pseudomonas aeruginosa PAO1	537_t0	2396
AAG07763.1	Pseudomonas aeruginosa PAO1	518_t2	1045
AAG07763.1	Pseudomonas aeruginosa PAO1	522_t1	1636
AAG07763.1	Pseudomonas aeruginosa PAO1	524_t1	3354
AAG07763.1	Pseudomonas aeruginosa PAO1	522_t0	1097
AAG07763.1	Pseudomonas aeruginosa PAO1	538_t0	2685
AAG07763.1	Pseudomonas aeruginosa PAO1	510_t3	1027
AAG07763.1	Pseudomonas aeruginosa PAO1	510_t1	1343
AAG07763.1	Pseudomonas aeruginosa PAO1	528_t0	1602
AAG07763.1	Pseudomonas aeruginosa PAO1	534_t3	1377
AAG07763.1	Pseudomonas aeruginosa PAO1	523_t3	28
AAG07763.1	Pseudomonas aeruginosa PAO1	511_t1	2461
AAG07763.1	Pseudomonas aeruginosa PAO1	518_t0	2184
AAG07763.1	Pseudomonas aeruginosa PAO1	523_t0	1663
AAG07763.1	Pseudomonas aeruginosa PAO1	524_t0	2815
AAG07763.1	Pseudomonas aeruginosa PAO1	528_t2	1313
AAG07763.1	Pseudomonas aeruginosa PAO1	508_t1	1346
AAG07763.1	Pseudomonas aeruginosa PAO1	510_t0	1010
AAG07763.1	Pseudomonas aeruginosa PAO1	507_t1	1271
AAG07763.1	Pseudomonas aeruginosa PAO1	519_t3	2559
AAG07763.1	Pseudomonas aeruginosa PAO1	510_t2	1163
AAG07763.1	Pseudomonas aeruginosa PAO1	532_t0	1401
AAG07763.1	Pseudomonas aeruginosa PAO1	534_t1	3130
AAG07763.1	Pseudomonas aeruginosa PAO1	511_t0	2883
AAG07763.1	Pseudomonas aeruginosa PAO1	508_t3	810
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	508_t0	715
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	519_t2	1805
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	524_t3	819
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	522_t3	950
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	518_t3	1027
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	504_t1	1573
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	517_t3	195
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	519_t1	2065
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	519_t0	1332
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	507_t0	814
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	517_t2	184
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	506_t2	1269
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	538_t2	383
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	528_t1	1852
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	504_t3	552
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	517_t0	370
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	537_t1	1774
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	505_t0	1189
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	537_t3	520
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	512_t0	4248
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	532_t3	1205
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	505_t3	732
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	506_t3	782
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	516_t3	667
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	516_t2	2171
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	524_t2	713
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	534_t2	1054
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	512_t1	2791
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	523_t1	1744
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	538_t3	730
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	506_t1	1265
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	523_t2	737
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	511_t2	1869
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	512_t3	222
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	511_t3	438
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	504_t0	1581
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	505_t2	1423
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	538_t1	384
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	532_t2	901
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	518_t1	1171
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	505_t1	1869
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	512_t2	961
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	507_t3	786
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	516_t0	1246
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	532_t1	703
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	522_t2	2061
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	504_t2	992
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	507_t2	368
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	528_t3	303
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	534_t0	1515
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	537_t2	758
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	506_t0	1555
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	517_t1	840
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	508_t2	2313
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	516_t1	1170
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	537_t0	2036
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	518_t2	4082
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	522_t1	1142
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	524_t1	637
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	522_t0	1471
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	538_t0	924
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	510_t3	2265
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	510_t1	1802
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	528_t0	1801
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	534_t3	1206
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	523_t3	2
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	511_t1	1724
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	518_t0	1364
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	523_t0	1270
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	524_t0	597
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	528_t2	269
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	508_t1	1310
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	510_t0	2624
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	507_t1	408
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	519_t3	499
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	510_t2	1774
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	532_t0	989
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	534_t1	1368
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	511_t0	1148
AAC73788.1	Escherichia coli str. K-12 substr. MG1655	508_t3	1156
CAA79727.1	Bacteroides fragilis	508_t0	19939
CAA79727.1	Bacteroides fragilis	519_t2	4999
CAA79727.1	Bacteroides fragilis	524_t3	23355
CAA79727.1	Bacteroides fragilis	522_t3	28531
CAA79727.1	Bacteroides fragilis	518_t3	10532
CAA79727.1	Bacteroides fragilis	504_t1	9284
CAA79727.1	Bacteroides fragilis	517_t3	22471
CAA79727.1	Bacteroides fragilis	519_t1	10851
CAA79727.1	Bacteroides fragilis	519_t0	9434
CAA79727.1	Bacteroides fragilis	507_t0	9508
CAA79727.1	Bacteroides fragilis	517_t2	16798
CAA79727.1	Bacteroides fragilis	506_t2	20094
CAA79727.1	Bacteroides fragilis	538_t2	5880
CAA79727.1	Bacteroides fragilis	528_t1	7352
CAA79727.1	Bacteroides fragilis	504_t3	16672
CAA79727.1	Bacteroides fragilis	517_t0	15323
CAA79727.1	Bacteroides fragilis	537_t1	13810
CAA79727.1	Bacteroides fragilis	505_t0	4108
CAA79727.1	Bacteroides fragilis	537_t3	17729
CAA79727.1	Bacteroides fragilis	512_t0	12666
CAA79727.1	Bacteroides fragilis	532_t3	12463
CAA79727.1	Bacteroides fragilis	505_t3	15976
CAA79727.1	Bacteroides fragilis	506_t3	25893
CAA79727.1	Bacteroides fragilis	516_t3	13249
CAA79727.1	Bacteroides fragilis	516_t2	3282
CAA79727.1	Bacteroides fragilis	524_t2	34703
CAA79727.1	Bacteroides fragilis	534_t2	25740
CAA79727.1	Bacteroides fragilis	512_t1	6543
CAA79727.1	Bacteroides fragilis	523_t1	11665
CAA79727.1	Bacteroides fragilis	538_t3	7404
CAA79727.1	Bacteroides fragilis	506_t1	17984
CAA79727.1	Bacteroides fragilis	523_t2	977
CAA79727.1	Bacteroides fragilis	511_t2	8769
CAA79727.1	Bacteroides fragilis	512_t3	2333
CAA79727.1	Bacteroides fragilis	511_t3	3128
CAA79727.1	Bacteroides fragilis	504_t0	11429
CAA79727.1	Bacteroides fragilis	505_t2	10298
CAA79727.1	Bacteroides fragilis	538_t1	5329
CAA79727.1	Bacteroides fragilis	532_t2	9366
CAA79727.1	Bacteroides fragilis	518_t1	6501
CAA79727.1	Bacteroides fragilis	505_t1	4294
CAA79727.1	Bacteroides fragilis	512_t2	5770
CAA79727.1	Bacteroides fragilis	507_t3	14061
CAA79727.1	Bacteroides fragilis	516_t0	5547
CAA79727.1	Bacteroides fragilis	532_t1	5038
CAA79727.1	Bacteroides fragilis	522_t2	13928
CAA79727.1	Bacteroides fragilis	504_t2	4593
CAA79727.1	Bacteroides fragilis	507_t2	39413
CAA79727.1	Bacteroides fragilis	528_t3	237
CAA79727.1	Bacteroides fragilis	534_t0	16744
CAA79727.1	Bacteroides fragilis	537_t2	21068
CAA79727.1	Bacteroides fragilis	506_t0	16201
CAA79727.1	Bacteroides fragilis	517_t1	18349
CAA79727.1	Bacteroides fragilis	508_t2	16759
CAA79727.1	Bacteroides fragilis	516_t1	5165
CAA79727.1	Bacteroides fragilis	537_t0	17515
CAA79727.1	Bacteroides fragilis	518_t2	4910
CAA79727.1	Bacteroides fragilis	522_t1	10673
CAA79727.1	Bacteroides fragilis	524_t1	28838
CAA79727.1	Bacteroides fragilis	522_t0	18385
CAA79727.1	Bacteroides fragilis	538_t0	8906
CAA79727.1	Bacteroides fragilis	510_t3	13780
CAA79727.1	Bacteroides fragilis	510_t1	14805
CAA79727.1	Bacteroides fragilis	528_t0	11139
CAA79727.1	Bacteroides fragilis	534_t3	19903
CAA79727.1	Bacteroides fragilis	523_t3	388
CAA79727.1	Bacteroides fragilis	511_t1	13646
CAA79727.1	Bacteroides fragilis	518_t0	9407
CAA79727.1	Bacteroides fragilis	523_t0	13181
CAA79727.1	Bacteroides fragilis	524_t0	38428
CAA79727.1	Bacteroides fragilis	528_t2	170
CAA79727.1	Bacteroides fragilis	508_t1	17834
CAA79727.1	Bacteroides fragilis	510_t0	11300
CAA79727.1	Bacteroides fragilis	507_t1	11172
CAA79727.1	Bacteroides fragilis	519_t3	13868
CAA79727.1	Bacteroides fragilis	510_t2	13584
CAA79727.1	Bacteroides fragilis	532_t0	5708
CAA79727.1	Bacteroides fragilis	534_t1	34625
CAA79727.1	Bacteroides fragilis	511_t0	17354
CAA79727.1	Bacteroides fragilis	508_t3	10521
QBQ69719.1	Escherichia coli	508_t0	2627
QBQ69719.1	Escherichia coli	519_t2	145
QBQ69719.1	Escherichia coli	524_t3	122
QBQ69719.1	Escherichia coli	522_t3	204
QBQ69719.1	Escherichia coli	518_t3	0
QBQ69719.1	Escherichia coli	504_t1	19
QBQ69719.1	Escherichia coli	517_t3	0
QBQ69719.1	Escherichia coli	519_t1	78
QBQ69719.1	Escherichia coli	519_t0	63
QBQ69719.1	Escherichia coli	507_t0	1
QBQ69719.1	Escherichia coli	517_t2	0
QBQ69719.1	Escherichia coli	506_t2	75
QBQ69719.1	Escherichia coli	538_t2	0
QBQ69719.1	Escherichia coli	528_t1	1
QBQ69719.1	Escherichia coli	504_t3	41
QBQ69719.1	Escherichia coli	517_t0	0
QBQ69719.1	Escherichia coli	537_t1	10
QBQ69719.1	Escherichia coli	505_t0	24
QBQ69719.1	Escherichia coli	537_t3	9
QBQ69719.1	Escherichia coli	512_t0	1768
QBQ69719.1	Escherichia coli	532_t3	4
QBQ69719.1	Escherichia coli	505_t3	0
QBQ69719.1	Escherichia coli	506_t3	92
QBQ69719.1	Escherichia coli	516_t3	0
QBQ69719.1	Escherichia coli	516_t2	0
QBQ69719.1	Escherichia coli	524_t2	173
QBQ69719.1	Escherichia coli	534_t2	104
QBQ69719.1	Escherichia coli	512_t1	1037
QBQ69719.1	Escherichia coli	523_t1	0
QBQ69719.1	Escherichia coli	538_t3	0
QBQ69719.1	Escherichia coli	506_t1	33
QBQ69719.1	Escherichia coli	523_t2	0
QBQ69719.1	Escherichia coli	511_t2	0
QBQ69719.1	Escherichia coli	512_t3	606
QBQ69719.1	Escherichia coli	511_t3	0
QBQ69719.1	Escherichia coli	504_t0	29
QBQ69719.1	Escherichia coli	505_t2	2
QBQ69719.1	Escherichia coli	538_t1	0
QBQ69719.1	Escherichia coli	532_t2	4
QBQ69719.1	Escherichia coli	518_t1	1
QBQ69719.1	Escherichia coli	505_t1	34
QBQ69719.1	Escherichia coli	512_t2	1050
QBQ69719.1	Escherichia coli	507_t3	0
QBQ69719.1	Escherichia coli	516_t0	0
QBQ69719.1	Escherichia coli	532_t1	3
QBQ69719.1	Escherichia coli	522_t2	39
QBQ69719.1	Escherichia coli	504_t2	13
QBQ69719.1	Escherichia coli	507_t2	0
QBQ69719.1	Escherichia coli	528_t3	0
QBQ69719.1	Escherichia coli	534_t0	64
QBQ69719.1	Escherichia coli	537_t2	0
QBQ69719.1	Escherichia coli	506_t0	75
QBQ69719.1	Escherichia coli	517_t1	0
QBQ69719.1	Escherichia coli	508_t2	2249
QBQ69719.1	Escherichia coli	516_t1	0
QBQ69719.1	Escherichia coli	537_t0	9
QBQ69719.1	Escherichia coli	518_t2	0
QBQ69719.1	Escherichia coli	522_t1	30
QBQ69719.1	Escherichia coli	524_t1	131
QBQ69719.1	Escherichia coli	522_t0	8
QBQ69719.1	Escherichia coli	538_t0	0
QBQ69719.1	Escherichia coli	510_t3	0
QBQ69719.1	Escherichia coli	510_t1	0
QBQ69719.1	Escherichia coli	528_t0	0
QBQ69719.1	Escherichia coli	534_t3	101
QBQ69719.1	Escherichia coli	523_t3	1
QBQ69719.1	Escherichia coli	511_t1	1
QBQ69719.1	Escherichia coli	518_t0	1
QBQ69719.1	Escherichia coli	523_t0	0
QBQ69719.1	Escherichia coli	524_t0	328
QBQ69719.1	Escherichia coli	528_t2	0
QBQ69719.1	Escherichia coli	508_t1	2580
QBQ69719.1	Escherichia coli	510_t0	0
QBQ69719.1	Escherichia coli	507_t1	0
QBQ69719.1	Escherichia coli	519_t3	30
QBQ69719.1	Escherichia coli	510_t2	0
QBQ69719.1	Escherichia coli	532_t0	1
QBQ69719.1	Escherichia coli	534_t1	126
QBQ69719.1	Escherichia coli	511_t0	0
QBQ69719.1	Escherichia coli	508_t3	1466
ACH87088.1	Escherichia coli	508_t0	794
ACH87088.1	Escherichia coli	519_t2	1109
ACH87088.1	Escherichia coli	524_t3	603
ACH87088.1	Escherichia coli	522_t3	911
ACH87088.1	Escherichia coli	518_t3	1226
ACH87088.1	Escherichia coli	504_t1	726
ACH87088.1	Escherichia coli	517_t3	919
ACH87088.1	Escherichia coli	519_t1	996
ACH87088.1	Escherichia coli	519_t0	931
ACH87088.1	Escherichia coli	507_t0	1223
ACH87088.1	Escherichia coli	517_t2	832
ACH87088.1	Escherichia coli	506_t2	610
ACH87088.1	Escherichia coli	538_t2	169
ACH87088.1	Escherichia coli	528_t1	1010
ACH87088.1	Escherichia coli	504_t3	499
ACH87088.1	Escherichia coli	517_t0	844
ACH87088.1	Escherichia coli	537_t1	2192
ACH87088.1	Escherichia coli	505_t0	771
ACH87088.1	Escherichia coli	537_t3	483
ACH87088.1	Escherichia coli	512_t0	1701
ACH87088.1	Escherichia coli	532_t3	657
ACH87088.1	Escherichia coli	505_t3	797
ACH87088.1	Escherichia coli	506_t3	408
ACH87088.1	Escherichia coli	516_t3	737
ACH87088.1	Escherichia coli	516_t2	830
ACH87088.1	Escherichia coli	524_t2	899
ACH87088.1	Escherichia coli	534_t2	1162
ACH87088.1	Escherichia coli	512_t1	831
ACH87088.1	Escherichia coli	523_t1	908
ACH87088.1	Escherichia coli	538_t3	510
ACH87088.1	Escherichia coli	506_t1	479
ACH87088.1	Escherichia coli	523_t2	282
ACH87088.1	Escherichia coli	511_t2	626
ACH87088.1	Escherichia coli	512_t3	148
ACH87088.1	Escherichia coli	511_t3	177
ACH87088.1	Escherichia coli	504_t0	834
ACH87088.1	Escherichia coli	505_t2	1539
ACH87088.1	Escherichia coli	538_t1	282
ACH87088.1	Escherichia coli	532_t2	510
ACH87088.1	Escherichia coli	518_t1	905
ACH87088.1	Escherichia coli	505_t1	1303
ACH87088.1	Escherichia coli	512_t2	681
ACH87088.1	Escherichia coli	507_t3	517
ACH87088.1	Escherichia coli	516_t0	481
ACH87088.1	Escherichia coli	532_t1	800
ACH87088.1	Escherichia coli	522_t2	862
ACH87088.1	Escherichia coli	504_t2	433
ACH87088.1	Escherichia coli	507_t2	351
ACH87088.1	Escherichia coli	528_t3	363
ACH87088.1	Escherichia coli	534_t0	940
ACH87088.1	Escherichia coli	537_t2	320
ACH87088.1	Escherichia coli	506_t0	800
ACH87088.1	Escherichia coli	517_t1	817
